Job_ID,Title,Location,Area,Field
539902483887229,"Product Design Intern (2022)","Tel Aviv, Israel","Internship - Engineering, Tech & Design",Design
496059834916735,"Production Engineer | Ingénieur de production","Remote, Canada",Infrastructure,"Production Engineering"
496059834916735,"Production Engineer | Ingénieur de production","Vancouver, BC",Infrastructure,"Production Engineering"
173312608288981,"Research Intern, Artificial Intelligence","Pittsburgh, PA","Internship - PhD","Artificial Intelligence"
173312608288981,"Research Intern, Artificial Intelligence","Austin, TX","Internship - PhD","Artificial Intelligence"
173312608288981,"Research Intern, Artificial Intelligence","Menlo Park, CA","Internship - PhD","Artificial Intelligence"
173312608288981,"Research Intern, Artificial Intelligence","Seattle, WA","Internship - PhD","Artificial Intelligence"
173312608288981,"Research Intern, Artificial Intelligence","Boston, MA","Internship - PhD","Artificial Intelligence"
173312608288981,"Research Intern, Artificial Intelligence","New York, NY","Internship - PhD","Artificial Intelligence"
562438201861588,"Software Engineering Manager, Tools & Infra, FRL Research","Redmond, WA",AR/VR,"3D Software Engineering"
2924223067836504,"Software Engineer - Android | Ingénieur logiciel – Android","Remote, Canada","Software Engineering",Engineering
2924223067836504,"Software Engineer - Android | Ingénieur logiciel – Android","Toronto, ON","Software Engineering",Engineering
210698074188643,"MicroLED Test Lead","Cork, Ireland",AR/VR,Engineering
210698074188643,"MicroLED Test Lead","Cork, Ireland",AR/VR,Hardware
210698074188643,"MicroLED Test Lead","Cork, Ireland","Facebook Reality Labs",Engineering
210698074188643,"MicroLED Test Lead","Cork, Ireland","Facebook Reality Labs",Hardware
271300087839920,"Software Engineer, PhD University Grad (Systems and Infrastructure - 2022)","Tel Aviv, Israel","Software Engineering",Engineering
271300087839920,"Software Engineer, PhD University Grad (Systems and Infrastructure - 2022)","Tel Aviv, Israel","Software Engineering",Research
271300087839920,"Software Engineer, PhD University Grad (Systems and Infrastructure - 2022)","Tel Aviv, Israel",Facebook,Engineering
271300087839920,"Software Engineer, PhD University Grad (Systems and Infrastructure - 2022)","Tel Aviv, Israel",Facebook,Research
271300087839920,"Software Engineer, PhD University Grad (Systems and Infrastructure - 2022)","Tel Aviv, Israel",Research,Engineering
271300087839920,"Software Engineer, PhD University Grad (Systems and Infrastructure - 2022)","Tel Aviv, Israel",Research,Research
271300087839920,"Software Engineer, PhD University Grad (Systems and Infrastructure - 2022)","Tel Aviv, Israel","University Grad - Engineering, Tech & Design",Engineering
271300087839920,"Software Engineer, PhD University Grad (Systems and Infrastructure - 2022)","Tel Aviv, Israel","University Grad - Engineering, Tech & Design",Research
1258209184650228,"Research Intern — Statistical Learning and Experimentation, Stats & Privacy(PhD)","Tel Aviv, Israel","Internship - PhD",Engineering
1258209184650228,"Research Intern — Statistical Learning and Experimentation, Stats & Privacy(PhD)","Tel Aviv, Israel","Internship - PhD","Data Science"
1258209184650228,"Research Intern — Statistical Learning and Experimentation, Stats & Privacy(PhD)","Tel Aviv, Israel",Facebook,Engineering
1258209184650228,"Research Intern — Statistical Learning and Experimentation, Stats & Privacy(PhD)","Tel Aviv, Israel",Facebook,"Data Science"
1258209184650228,"Research Intern — Statistical Learning and Experimentation, Stats & Privacy(PhD)","Tel Aviv, Israel",Research,Engineering
1258209184650228,"Research Intern — Statistical Learning and Experimentation, Stats & Privacy(PhD)","Tel Aviv, Israel",Research,"Data Science"
1258209184650228,"Research Intern — Statistical Learning and Experimentation, Stats & Privacy(PhD)","Tel Aviv, Israel","Data & Analytics",Engineering
1258209184650228,"Research Intern — Statistical Learning and Experimentation, Stats & Privacy(PhD)","Tel Aviv, Israel","Data & Analytics","Data Science"
320065392876673,"Head of Industry, Fashion & Luxury, Global Business Group","London, UK","Sales & Marketing",Sales
3016729765314858,"Technical Program Manager, Operational Excellence","Redmond, WA",AR/VR,"Program Management"
3016729765314858,"Technical Program Manager, Operational Excellence","Redmond, WA",Oculus,"Program Management"
3016729765314858,"Technical Program Manager, Operational Excellence","Remote, US",AR/VR,"Program Management"
3016729765314858,"Technical Program Manager, Operational Excellence","Remote, US",Oculus,"Program Management"
3016729765314858,"Technical Program Manager, Operational Excellence","Burlingame, CA",AR/VR,"Program Management"
3016729765314858,"Technical Program Manager, Operational Excellence","Burlingame, CA",Oculus,"Program Management"
238076448369555,"Client Partner, Greater China","Hong Kong",Facebook,Sales
374765284366923,"Software Engineering Manager, FAST Vision, Facebook Reality Labs","Sunnyvale, CA","Software Engineering",Engineering
879638575964868,"Depth Computer Vision Technical Program Manager ","Sunnyvale, CA",AR/VR,"Program Management"
879638575964868,"Depth Computer Vision Technical Program Manager ","Sunnyvale, CA","Facebook Reality Labs","Program Management"
879638575964868,"Depth Computer Vision Technical Program Manager ","Sunnyvale, CA",Oculus,"Program Management"
879638575964868,"Depth Computer Vision Technical Program Manager ","Sunnyvale, CA","Technical Program Management","Program Management"
2049303378552956,"Image Quality Technical Program Manager ","Sunnyvale, CA",AR/VR,"Program Management"
2049303378552956,"Image Quality Technical Program Manager ","Sunnyvale, CA","Facebook Reality Labs","Program Management"
2049303378552956,"Image Quality Technical Program Manager ","Sunnyvale, CA",Oculus,"Program Management"
2049303378552956,"Image Quality Technical Program Manager ","Sunnyvale, CA","Technical Program Management","Program Management"
403809844518364,"Software Engineer Intern, Aria Partner Services (Masters)","London, UK","Internship - Engineering, Tech & Design",Engineering
403809844518364,"Software Engineer Intern, Aria Partner Services (Masters)","London, UK","Internship - Engineering, Tech & Design",Research
403809844518364,"Software Engineer Intern, Aria Partner Services (Masters)","London, UK","Internship - PhD",Engineering
403809844518364,"Software Engineer Intern, Aria Partner Services (Masters)","London, UK","Internship - PhD",Research
403809844518364,"Software Engineer Intern, Aria Partner Services (Masters)","London, UK",AR/VR,Engineering
403809844518364,"Software Engineer Intern, Aria Partner Services (Masters)","London, UK",AR/VR,Research
403809844518364,"Software Engineer Intern, Aria Partner Services (Masters)","London, UK","Software Engineering",Engineering
403809844518364,"Software Engineer Intern, Aria Partner Services (Masters)","London, UK","Software Engineering",Research
403809844518364,"Software Engineer Intern, Aria Partner Services (Masters)","London, UK",Facebook,Engineering
403809844518364,"Software Engineer Intern, Aria Partner Services (Masters)","London, UK",Facebook,Research
403809844518364,"Software Engineer Intern, Aria Partner Services (Masters)","London, UK",Oculus,Engineering
403809844518364,"Software Engineer Intern, Aria Partner Services (Masters)","London, UK",Oculus,Research
600701450985684,"Research Engineer Intern, Computer Vision & Machine Learning, XR People (PhD)","Tel Aviv, Israel","Facebook Reality Labs","Computer Vision"
491633172189269,"Client Solutions Manager, Turkey","London, UK",,
4594818800585486,"Lead Counsel, Global Privacy Compliance","Austin, TX","Legal, Finance, Facilities & Admin",Legal
4594818800585486,"Lead Counsel, Global Privacy Compliance","Austin, TX","Legal, Finance, Facilities & Admin",Privacy
4594818800585486,"Lead Counsel, Global Privacy Compliance","Menlo Park, CA","Legal, Finance, Facilities & Admin",Legal
4594818800585486,"Lead Counsel, Global Privacy Compliance","Menlo Park, CA","Legal, Finance, Facilities & Admin",Privacy
4594818800585486,"Lead Counsel, Global Privacy Compliance","Seattle, WA","Legal, Finance, Facilities & Admin",Legal
4594818800585486,"Lead Counsel, Global Privacy Compliance","Seattle, WA","Legal, Finance, Facilities & Admin",Privacy
4594818800585486,"Lead Counsel, Global Privacy Compliance","New York, NY","Legal, Finance, Facilities & Admin",Legal
4594818800585486,"Lead Counsel, Global Privacy Compliance","New York, NY","Legal, Finance, Facilities & Admin",Privacy
4594818800585486,"Lead Counsel, Global Privacy Compliance","Los Angeles, CA","Legal, Finance, Facilities & Admin",Legal
4594818800585486,"Lead Counsel, Global Privacy Compliance","Los Angeles, CA","Legal, Finance, Facilities & Admin",Privacy
4594818800585486,"Lead Counsel, Global Privacy Compliance","Washington, DC","Legal, Finance, Facilities & Admin",Legal
4594818800585486,"Lead Counsel, Global Privacy Compliance","Washington, DC","Legal, Finance, Facilities & Admin",Privacy
4594818800585486,"Lead Counsel, Global Privacy Compliance","San Francisco, CA","Legal, Finance, Facilities & Admin",Legal
4594818800585486,"Lead Counsel, Global Privacy Compliance","San Francisco, CA","Legal, Finance, Facilities & Admin",Privacy
4594818800585486,"Lead Counsel, Global Privacy Compliance","Chicago, IL","Legal, Finance, Facilities & Admin",Legal
4594818800585486,"Lead Counsel, Global Privacy Compliance","Chicago, IL","Legal, Finance, Facilities & Admin",Privacy
901408637162453,"Group Technical Program Manager, Facebook Financials (F2)","Menlo Park, CA",Infrastructure,"Program Management"
901408637162453,"Group Technical Program Manager, Facebook Financials (F2)","Menlo Park, CA",Facebook,"Program Management"
901408637162453,"Group Technical Program Manager, Facebook Financials (F2)","Menlo Park, CA","Technical Program Management","Program Management"
901408637162453,"Group Technical Program Manager, Facebook Financials (F2)","Menlo Park, CA","Product Management","Program Management"
952853362001807,"Revenue Operations Manager - Cash Operations","Austin, TX","Legal, Finance, Facilities & Admin",Finance
572676997490970,"Research Scientist Intern, Intelligent Image Processing (PhD)","Redmond, WA","Internship - PhD",Engineering
